"Pression","Temp"
0.976260831,99.3333333333333
0.954470339,99
0.934852212,98
0.825398437,94.7222222222222
0.792946646,93.6666666666667
0.781015349,93.3888888888889
0.76968563,93.0555555555556
0.731652532,91.6666666666667
0.732855688,91.3333333333333
0.723698334,91.2777777777778
0.722060705,90.8888888888889
0.68446208,89.6666666666667
0.675505252,89.7777777777778
0.660332118,88.5555555555556
0.65137529,88.3888888888889
0.647899506,88.1111111111111
0.630620849,87.5
0.613475876,87.1111111111111
0.618522447,86.9444444444444
0.577080407,85.3888888888889
0.575543041,85.5555555555556
0.570229102,85.3333333333333
0.566786739,84.5
0.564179901,84.7777777777778
0.562040957,84.5
0.547603085,84
0.542589935,83.5555555555556
0.538278626,83.2777777777778
0.532329688,83.2777777777778
0.532028899,82.7777777777778
0.513881296,82.5555555555556
